,id,words,idf
4978,4978,latent,8.107834890697795
4927,4927,krause,8.107834890697795
5007,5007,legitime,8.107834890697795
5032,5032,leutychianisme,8.107834890697795
5029,5029,leucharistie,8.107834890697795
5023,5023,lesprit,8.107834890697795
5022,5022,lespace,8.107834890697795
5016,5016,lendemain,8.107834890697795
5015,5015,lencyclopedia,8.107834890697795
5012,5012,leipzig,8.107834890697795
5011,5011,leicester,8.107834890697795
5010,5010,leibnizienne,8.107834890697795
5009,5009,legomenon,8.107834890697795
5004,5004,lectio,8.107834890697795
4980,4980,latine,8.107834890697795
5000,5000,laïque,8.107834890697795
4999,4999,laïc,8.107834890697795
4998,4998,laxiste,8.107834890697795
4995,4995,lavée,8.107834890697795
4992,4992,lavent,8.107834890697795
4987,4987,lav,8.107834890697795
4986,4986,lautre,8.107834890697795
4985,4985,lautorité,8.107834890697795
4983,4983,lattribut,8.107834890697795
4981,4981,latitude,8.107834890697795
4928,4928,krister,8.107834890697795
4926,4926,koo,8.107834890697795
5221,5221,lévi,8.107834890697795
4849,4849,judaica,8.107834890697795
4872,4872,juridiquement,8.107834890697795
4869,4869,julien,8.107834890697795
4868,4868,julai,8.107834890697795
4862,4862,jugez,8.107834890697795
4861,4861,jugera,8.107834890697795
4859,4859,jugeons,8.107834890697795
4855,4855,judiciaires,8.107834890697795
4852,4852,judaïser,8.107834890697795
4851,4851,judaïsantes,8.107834890697795
4850,4850,judas,8.107834890697795
4843,4843,journée,8.107834890697795
4881,4881,justifient,8.107834890697795
1,1,aaen,8.107834890697795
4841,4841,journalhttpfacultywtseduwp,8.107834890697795
4836,4836,jouissance,8.107834890697795
4834,4834,joug,8.107834890697795
4829,4829,jordan,8.107834890697795
4828,4828,jones,8.107834890697795
4826,4826,joliment,8.107834890697795
4825,4825,jolie,8.107834890697795
4824,4824,joli,8.107834890697795
4823,4823,jointure,8.107834890697795
4875,4875,jusquou,8.107834890697795
4883,4883,justifiera,8.107834890697795
4925,4925,kokhba,8.107834890697795
4910,4910,kelvin,8.107834890697795
4924,4924,koinas,8.107834890697795
4923,4923,knox,8.107834890697795
4921,4921,klinien,8.107834890697795
4920,4920,klinehttpwwwetsjetsorgfilesjets,8.107834890697795
4919,4919,klinehttpsparlafoifrtagkline,8.107834890697795
4918,4918,klinean,8.107834890697795
4914,4914,king,8.107834890697795
4913,4913,kindle,8.107834890697795
4912,4912,kim,8.107834890697795
4911,4911,kevin,8.107834890697795
4908,4908,kbzqaeikzaavonepageqffalse,8.107834890697795
4887,4887,jv,8.107834890697795
4907,4907,kayayanhttpfoietviereformeesorg,8.107834890697795
4906,4906,karlberg,8.107834890697795
4904,4904,kantienne,8.107834890697795
4900,4900,kampen,8.107834890697795
4899,4899,kalam,8.107834890697795
4897,4897,jétais,8.107834890697795
4895,4895,jésuite,8.107834890697795
4891,4891,jéroboam,8.107834890697795
4890,4890,jéhu,8.107834890697795
4889,4889,jécris,8.107834890697795
5033,5033,lev,8.107834890697795
5035,5035,levant,8.107834890697795
5036,5036,leviathan,8.107834890697795
5158,5158,lorsquun,8.107834890697795
5171,5171,luciole,8.107834890697795
5168,5168,loyalement,8.107834890697795
5167,5167,lourdement,8.107834890697795
5166,5166,lourde,8.107834890697795
5165,5165,louons,8.107834890697795
5163,5163,louer,8.107834890697795
5162,5162,louange,8.107834890697795
5161,5161,louables,8.107834890697795
5160,5160,losange,8.107834890697795
5159,5159,lorthodoxie,8.107834890697795
5155,5155,lorrain,8.107834890697795
5175,5175,luielle,8.107834890697795
5154,5154,loquendi,8.107834890697795
5152,5152,longuement,8.107834890697795
5149,5149,longanimité,8.107834890697795
5146,5146,lon,8.107834890697795
5145,5145,lombard,8.107834890697795
5144,5144,loisir,8.107834890697795
5143,5143,lointaine,8.107834890697795
5140,5140,lohse,8.107834890697795
5139,5139,logos,8.107834890697795
5137,5137,logiquement,8.107834890697795
5173,5173,lues,8.107834890697795
5177,5177,luke,8.107834890697795
5037,5037,lewis,8.107834890697795
5202,5202,léducation,8.107834890697795
5220,5220,lévangile,8.107834890697795
5219,5219,léthique,8.107834890697795
5217,5217,lépreux,8.107834890697795
5216,5216,léonistes,8.107834890697795
5215,5215,léon,8.107834890697795
5214,5214,légèrement,8.107834890697795
5213,5213,légère,8.107834890697795
5212,5212,léglise,8.107834890697795
5207,5207,légendaire,8.107834890697795
5206,5206,légalisme,8.107834890697795
5201,5201,lèveras,8.107834890697795
5178,5178,lulab,8.107834890697795
5198,5198,lyle,8.107834890697795
5196,5196,lydia,8.107834890697795
5195,5195,lxx,8.107834890697795
5194,5194,lxiv,8.107834890697795
5188,5188,lus,8.107834890697795
5187,5187,lunivers,8.107834890697795
5186,5186,lunité,8.107834890697795
5185,5185,lunique,8.107834890697795
5182,5182,lundverg,8.107834890697795
5181,5181,lun,8.107834890697795
5135,5135,logement,8.107834890697795
5134,5134,loffice,8.107834890697795
5133,5133,locution,8.107834890697795
5064,5064,ligament,8.107834890697795
5083,5083,lindsley,8.107834890697795
5082,5082,lincohérence,8.107834890697795
5080,5080,limportance,8.107834890697795
5079,5079,limpide,8.107834890697795
5078,5078,limmatérialisme,8.107834890697795
5077,5077,limmaculee,8.107834890697795
5073,5073,limitons,8.107834890697795
5070,5070,limitation,8.107834890697795
5069,5069,liguées,8.107834890697795
